Age,Gender,Occupation,Region,Target
48,Male,Engineer,West,1
56,Female,Artist,West,0
41,Male,Engineer,South,1
44,Male,Engineer,North,1
22,Male,Artist,South,0
35,Male,Teacher,South,0
26,Female,Artist,West,0
41,Male,Engineer,East,1
55,Female,Doctor,East,0
32,Male,Artist,West,0
42,Male,Doctor,South,0
23,Male,Doctor,East,0
31,Male,Engineer,East,1
56,Female,Teacher,North,0
33,Male,Teacher,North,0
37,Female,Engineer,South,1
51,Female,Artist,West,0
55,Male,Teacher,East,1
25,Female,Artist,North,0
55,Female,Engineer,East,1
42,Female,Doctor,East,0
26,Female,Engineer,North,0
37,Male,Doctor,West,0
58,Female,Doctor,South,0
56,Male,Teacher,West,0
25,Male,Artist,West,0
59,Female,Engineer,South,1
39,Female,Engineer,East,1
50,Male,Doctor,South,0
42,Male,Artist,West,0
25,Male,Engineer,East,0
57,Female,Engineer,West,1
55,Female,Artist,East,0
30,Female,Artist,East,0
53,Male,Doctor,South,0
52,Male,Artist,South,0
34,Female,Teacher,West,1
57,Male,Teacher,East,0
31,Female,Artist,East,0
39,Male,Engineer,East,1
47,Female,Engineer,West,0
31,Female,Artist,West,0
49,Female,Doctor,South,0
58,Male,Engineer,West,1
40,Male,Doctor,West,0
55,Male,Artist,West,0
50,Female,Doctor,West,0
33,Male,Doctor,South,0
31,Female,Engineer,West,1
56,Female,Artist,East,0
56,Female,Artist,North,0
53,Male,Engineer,North,1
35,Female,Engineer,East,0
44,Male,Teacher,North,0
56,Female,Doctor,South,0
20,Female,Artist,South,0
47,Female,Engineer,West,1
33,Female,Artist,West,0
31,Female,Artist,West,1
32,Female,Engineer,North,1
42,Female,Doctor,North,1
55,Male,Engineer,West,1
51,Female,Artist,North,0
20,Male,Teacher,East,0
42,Male,Doctor,North,1
59,Male,Teacher,East,0
45,Male,Teacher,North,0
28,Male,Doctor,East,0
22,Male,Doctor,North,1
49,Female,Teacher,South,0
41,Female,Engineer,North,1
27,Male,Doctor,South,0
41,Female,Doctor,West,0
39,Female,Teacher,North,1
60,Male,Engineer,East,1
36,Female,Doctor,South,0
37,Female,Artist,North,0
57,Female,Doctor,North,1
29,Female,Engineer,North,0
28,Male,Doctor,East,0
25,Female,Artist,South,0
40,Male,Teacher,North,0
25,Male,Teacher,East,0
29,Male,Doctor,West,0
23,Female,Teacher,East,1
51,Female,Artist,West,0
38,Female,Artist,West,0
58,Male,Teacher,South,0
30,Male,Teacher,West,0
50,Male,Doctor,South,1
49,Male,Doctor,West,0
24,Male,Doctor,South,0
49,Male,Teacher,West,0
39,Female,Doctor,West,0
55,Male,Teacher,South,0
35,Male,Teacher,South,0
34,Female,Doctor,East,0
34,Male,Artist,South,0
43,Male,Teacher,North,0
48,Male,Engineer,East,0
43,Female,Engineer,East,1
52,Male,Teacher,North,0
58,Male,Teacher,South,0
24,Male,Artist,East,0
34,Female,Doctor,West,0
43,Male,Teacher,East,0
27,Male,Artist,South,0
34,Female,Doctor,West,0
43,Male,Engineer,East,1
41,Male,Engineer,South,1
36,Female,Doctor,East,1
29,Male,Doctor,North,1
56,Female,Teacher,South,0
50,Male,Engineer,East,1
38,Female,Teacher,North,0
39,Male,Teacher,West,1
26,Female,Artist,West,0
31,Female,Engineer,East,1
47,Male,Engineer,South,1
42,Female,Artist,West,0
60,Female,Teacher,East,0
33,Female,Artist,East,0
49,Male,Engineer,North,1
37,Male,Teacher,East,0
43,Female,Doctor,West,0
46,Female,Doctor,East,0
26,Male,Artist,West,0
53,Female,Teacher,West,0
39,Male,Engineer,North,1
37,Female,Doctor,West,0
49,Female,Engineer,West,1
20,Female,Artist,North,1
60,Male,Artist,South,0
42,Male,Artist,South,0
44,Male,Doctor,East,0
22,Male,Artist,North,0
56,Male,Doctor,West,0
59,Female,Teacher,North,0
31,Female,Doctor,East,0
36,Male,Artist,North,1
60,Male,Doctor,East,0
37,Female,Engineer,West,1
51,Male,Teacher,South,0
56,Male,Doctor,East,0
51,Female,Teacher,East,0
22,Male,Artist,East,0
36,Female,Teacher,East,0
25,Male,Artist,South,0
36,Female,Teacher,West,0
46,Male,Doctor,East,0
21,Female,Artist,North,0
49,Male,Teacher,East,0
59,Male,Artist,West,0
47,Female,Artist,West,0
53,Female,Teacher,North,1
26,Male,Teacher,West,0
24,Male,Artist,South,1
21,Male,Engineer,South,0
36,Male,Teacher,West,0
52,Female,Artist,East,0
36,Female,Artist,North,0
30,Male,Doctor,West,0
48,Male,Artist,South,0
28,Male,Artist,East,0
47,Female,Teacher,West,1
54,Male,Teacher,South,0
